node,x,y,z
age,0.21002971669880774,-0.19409517281682295,-0.1357410291715318
old,0.16004998593753447,-0.1578400385062451,-0.11342100216380478
airplane,0.6420662341262976,-0.56190838573541,0.12988662943093937
fly,0.5721751487767921,-0.47323599042535236,0.13430887904439942
plane,0.6277422211777118,-0.5844454311460792,0.09522693807372261
alcohol,-0.05022389495268671,0.28663575600131447,-0.20590278419665867
beer,-0.09266464854228261,0.3358097994208929,-0.18130852188513996
drink,-0.08148711755685215,0.38407269425151175,-0.1805601183629321
drunk,-0.07607374148524922,0.3465459275999938,-0.2185385019443543
wine,-0.09987474029827992,0.2548308958669415,-0.11486121855844676
alien,-0.14344329418707105,0.07913666884455454,0.25634733745861665
space,-0.13723481972238213,0.06562296201397697,0.16093347546830866
all,-0.8758534875344679,-0.2589472893050229,0.07427840311995469
together,-0.7769484458713941,-0.2004797312697713,0.0671630803798266
alone,-0.526582909358644,-0.014336869975281892,0.05157935814191074
forever,-0.6319221525973153,-0.08491032137386399,0.059738985717275074
sad,-0.3358858143445581,0.08850671872012689,0.03292496178905155
amazing,0.3628896616337978,-0.3786789335502239,-0.06463602823898279
great,0.2798097080222712,-0.29151767328751427,-0.041786369533320364
america,-0.2827628871931397,0.0063482869635930715,0.12978387549842035
home,-0.1794673311510057,-0.03465514775905559,0.02657973233354766
anger,-0.386096654441694,0.1384091941803683,-0.21260802134400558
mad,-0.5094245599368321,0.16285080986477635,-0.27100632619663734
red,-0.1992491781967082,0.1992226745644869,-0.062394765038644696
angry,-0.5770872415778755,0.1759946122152191,-0.30350832751086304
animal,0.14497296212589494,0.1833192390467569,0.04849356221775659
cat,0.33208851420789315,0.02975498915524588,0.10375696338790348
dog,0.27716331406209416,0.08613786470700796,0.08091949528945203
vegetable,0.008766833054944289,0.36243597569183494,-0.028971715638660456
animals,0.19226176604631498,0.09254701411214498,0.10908224217205068
apple,-0.05773480819653828,0.4071928337003618,0.008236593681063928
fruit,-0.0363695147632772,0.44172241869486745,0.004618607494829832
green,-0.10100179995536418,0.30943755152118574,0.07946132662044561
orange,-0.052850457975281755,0.4782324787954855,0.017605436013775955
pie,-0.045435641921934104,0.40468970036533464,-0.07608156110518542
tree,-0.06719817966150797,0.31209818877601053,0.131135529588789
area,-0.1839233624291627,0.07293224956815476,0.07629828970774119
place,-0.17756684903002315,0.04287785399287397,0.10186541615139975
square,-0.2294084492226278,0.07482452537815601,-0.09486941542544347
arm,-0.23546850498039873,0.04995527640098524,-0.4511549847537682
hand,-0.25254367011042195,0.034582230473019435,-0.3274792479457996
army,-0.03830187722530173,-0.2592463256863149,-0.4483966108808026
military,-0.03854205381561894,-0.25116316735558303,-0.4335205704892402
war,-0.061013920069098525,-0.19412427080884365,-0.3646439272144285
art,0.0342729523473383,0.06081614800106574,0.41109079748094873
paint,-0.0932184066403777,0.09202006175622415,0.18489762983460115
painting,0.07338382798587202,0.0519742218257019,0.4829490472905296
picture,0.15619895747278464,0.020297811082091687,0.5570364119509139
away,-0.18201055729663698,-0.2949019615801566,0.15151714163695218
go,-0.07427901745185977,-0.3399821273340204,0.11149850446797835
baby,-0.1359148451915789,-0.08623456269465826,-0.07521232253393074
child,-0.02299261469887422,-0.16668921127130112,-0.143787040237499
cry,-0.2761340303982286,0.054712811617635915,0.023359231209714774
bad,0.06882290355629468,-0.3973611520251,-0.19269981983440207
boy,-0.029755112976443822,-0.27037860026950505,-0.28515456681380585
evil,0.10908478302265837,-0.40836457292726513,-0.21956724873243572
good,0.12651386641948523,-0.32674135956083367,-0.21096149713927964
bag,-0.14877061625099272,0.6030474825725295,0.06848461364206648
shopping,-0.04902247929698108,0.5295546192486501,0.16458380389803604
ball,-0.1901339062071226,-0.01488294173721658,0.059728618876529506
game,-0.18470774576655863,0.1035779325965136,0.16005292148429748
play,-0.10123349941862102,0.09368283486727892,0.1562885921559109
round,-0.22547458390197245,-0.003540808194826618,-0.060664274355729145
band,0.14047886169975637,-0.12156115884165944,0.19512891369505744
group,0.019225320429767483,-0.27215903549980425,0.09902019626239898
music,0.21422481028444548,-0.10273089083559124,0.23093896405495717
rock,0.1449915529150887,0.04956713703921085,0.2003614054607454
bang,0.35730106458711586,-0.19319575379232226,0.2149629638076027
big,0.3083016644495477,-0.21959219946438402,0.0846276395316028
gun,0.38553541693022597,-0.15722118541612867,0.25527321477158976
loud,0.3152246570719188,-0.1657560080798123,0.2688589865281881
noise,0.3320331783522658,-0.17686419652251856,0.28490675791290654
bank,0.03855437401754295,0.4465888803936312,0.22464505263861737
money,0.028818930980378164,0.4061150481824024,0.20082114673249685
baseball,-0.2851205764260908,0.0807815263310534,0.19841406832925648
sport,-0.28007389627184837,0.11657899073075184,0.2263429947417571
beach,0.040010739104773416,0.32005223041180236,-0.21454024793345106
sun,0.08782392021705121,0.23358940061499905,-0.14827794395193414
beautiful,-0.0313029191494657,-0.2364202634972225,-0.40596717966155005
girl,-0.06499399147002946,-0.24172426204071207,-0.3428062529540315
pretty,-0.01602178782441193,-0.19504666515281216,-0.36599014592413454
bed,0.068510700193742,-0.002283144207658057,0.0831308345837352
sleep,0.1599362490598764,-0.03262251867718454,0.009800382077804532
bee,0.7127285692199127,-0.3683806722083587,0.08549941000982991
insect,0.6816600286643252,-0.45983402394168527,0.10646785970456912
bible,0.3694777297715535,-0.6616077233398208,0.8753774851115158
book,0.3036002398650171,-0.6459434359036541,0.8032041421708196
god,0.44376609880890777,-0.6666346248360561,0.9389487212130799
religion,0.43722283444206356,-0.6778642015821331,0.9527494482846458
large,0.32424057877773405,-0.22151503850838303,0.046044742963929776
small,0.31773363866857957,-0.15941534510758892,0.06679810793098222
bird,0.4864405979308077,-0.38640447714607185,0.1657977958895343
birthday,-0.16056585524507605,0.24203148017778453,0.019281074568776296
cake,-0.058242641798676026,0.2813538515036699,-0.12734316201648002
happy,-0.23994874874120295,0.1826299850526278,0.05590738623476804
party,-0.08649041088426397,0.2846956097149607,0.0445623113439301
black,-0.03258932688158953,0.011843157542662103,-0.21522661990416753
dark,0.05045913840332403,0.015422981856946103,-0.12084178081275403
white,-0.035284610908165565,0.1081344115315165,-0.2612642105333534
blood,-0.2527076293791939,0.2340102107905087,-0.07128918913720854
blue,-0.20584417732284094,0.12566888328420278,-0.02448461143375513
color,-0.15294580802833815,0.16938721794954822,0.058993985720975785
board,-0.10850966060440544,0.1471907603713128,0.1706768415845413
room,-0.06389336646011383,0.04509953437878821,0.14225960881042635
wood,-0.03371267091109206,0.2606578923225893,0.15722094922294552
boat,-0.1279349102279108,0.49212368091546715,-0.39235108971046145
ship,-0.14528136906384215,0.5302455534039368,-0.42924734294358
water,-0.09481540478753558,0.41657865684913925,-0.3202806125473068
body,0.22271435338964732,0.2609116483631747,0.3818083545276705
mind,0.14087149482155273,0.22332615008836965,0.3320299819780241
bone,-0.043482163582537696,0.12468441524787154,-0.39599929006108364
books,0.42914115587423785,0.28326620430877936,0.006530328190123991
study,0.32969979917612113,0.23075342693177425,0.004130886907782315
boss,-0.14415868598921208,0.00899192116044697,-0.03635147816237012
man,-0.16360712601278998,-0.12031126502265933,-0.21153961640533064
work,-0.04920371839307791,0.14806053805084585,0.14266130727846926
box,-0.2343684267897123,0.12890672989883697,-0.19831862843005954
brain,0.05693919019062588,0.1795720180641843,0.2657088162486599
head,-0.08101254136958604,0.06207989455051336,0.2570151580930384
smart,0.05024996514136825,0.21280536310022374,0.11997741095663582
think,0.1462523153256326,0.23304455676182853,0.3027002901321858
brave,-0.16849781537602734,0.10502456198027209,-0.24496731561934862
heart,-0.21754940243613546,-0.021830830740877504,-0.1870653011099385
indian,-0.09456566442969543,0.29709168679057213,-0.2527025782463236
strong,-0.1328593358917749,0.018167241529084485,-0.26707473238758717
bread,0.012908827546125623,0.5189822923435565,-0.26226669117637275
food,0.006740435035446775,0.448237836068165,-0.21594929877802035
breakfast,0.050320648917589895,0.5689901005031329,-0.26376260318695005
eggs,0.09919976842486691,0.6555661935628079,-0.31065826760223403
bright,0.11796187096735973,0.15385687791858207,-0.03496550284626283
light,0.1133505219689063,0.0717196608419269,-0.06895046032789887
star,0.13376437211579092,0.17836021238670283,-0.1032978462934327
broken,-0.15407450441368703,0.5735839528662017,-0.2174835994182732
fix,-0.1621804825414312,0.6953791895002619,-0.1998690731793512
glass,-0.12435514277484198,0.4437315959492661,-0.21096844505922846
