source,target,weight
groen,gras,0.43
groen,kleur,0.08
groente,fruit,0.11
groente,gezond,0.08
groente,groen,0.08
groenten,fruit,0.19
groenten,gezond,0.21
groenten,lekker,0.07
groep,mensen,0.15
grond,aarde,0.43
groot,klein,0.4
groot,lang,0.06
haar,hoofd,0.06
haar,lang,0.11
hand,ring,0.09
hard,steen,0.22
hard,zacht,0.35
hart,bloed,0.09
hart,liefde,0.23
hart,rood,0.14
heet,warm,0.59
heet,zomer,0.06
hemel,aarde,0.1
hemel,blauw,0.26
hemel,god,0.09
hemel,lucht,0.08
hemel,sterren,0.06
hersenen,denken,0.22
hersenen,hoofd,0.12
hond,kat,0.1
hond,lief,0.07
hoofd,haar,0.28
hoofd,hersenen,0.08
hoofd,neus,0.07
hoofd,ogen,0.1
hoog,berg,0.11
hotel,bed,0.07
hotel,slapen,0.08
hotel,vakantie,0.31
hout,boom,0.17
hout,bos,0.1
hout,vuur,0.08
huilen,tranen,0.22
huilen,verdriet,0.16
huilen,wenen,0.26
huis,gezellig,0.06
huis,thuis,0.12
huis,tuin,0.17
huwelijk,man,0.06
huwelijk,samen,0.06
huwelijk,trouwen,0.11
ijs,koud,0.32
ijs,lekker,0.16
ijs,zomer,0.11
ijzer,grijs,0.08
ijzer,hard,0.1
ijzer,metaal,0.14
ijzer,sterk,0.1
ik,vrouw,0.08
indiaan,amerika,0.11
indiaan,rood,0.08
insect,bij,0.1
insect,klein,0.07
instrument,muziek,0.25
instrument,spelen,0.06
internet,computer,0.27
jaar,tijd,0.08
jas,koud,0.15
jas,regen,0.09
jas,warm,0.28
jas,winter,0.12
jeugd,jong,0.32
jezus,geloof,0.13
jezus,god,0.22
jong,kind,0.17
jong,oud,0.17
juist,fout,0.2
juist,goed,0.1
juweel,goud,0.15
juweel,ketting,0.06
juweel,mooi,0.09
juweel,ring,0.23
kaas,geel,0.19
kaas,lekker,0.09
kapot,stuk,0.69
karakter,sterk,0.06
kast,deur,0.08
kast,hout,0.14
kast,kleren,0.19
kast,stoel,0.06
kat,hond,0.21
keel,pijn,0.39
kennis,slim,0.11
kennis,vriend,0.22
kerk,geloof,0.07
kerk,pastoor,0.1
kerk,priester,0.08
kerstmis,boom,0.08
kerstmis,feest,0.07
kerstmis,sneeuw,0.07
ketting,fiets,0.19
ketting,goud,0.06
ketting,juweel,0.06
keuken,eten,0.36
keuken,koken,0.17
keuze,moeilijk,0.1
kijken,ogen,0.17
kijken,zien,0.56
kind,baby,0.09
kind,jong,0.1
kind,klein,0.22
kind,spelen,0.06
kinderen,klein,0.12
kinderen,ouders,0.1
kinderen,spelen,0.15
kip,ei,0.3
kip,eten,0.06
klaar,gedaan,0.18
kledij,broek,0.14
kledij,jas,0.06
kledij,kleren,0.06
kledij,mode,0.09
kledij,rok,0.06
kleding,broek,0.16
kleding,mode,0.07
kleding,rok,0.07
kleding,warm,0.06
klein,groot,0.36
klein,kind,0.07
kleren,broek,0.13
kleren,kast,0.07
kleren,mode,0.08
kleren,rok,0.06
kleren,warm,0.08
kleren,winkel,0.1
kleur,blauw,0.21
kleur,geel,0.06
kleur,groen,0.07
kleur,rood,0.34
kleur,zwart,0.07
kleuren,blauw,0.1
kleuren,geel,0.06
kleuren,groen,0.06
kleuren,rood,0.35
klok,tijd,0.23
koe,dier,0.1
koe,gras,0.09
koe,melk,0.34
koffie,ochtend,0.08
koffie,thee,0.09
koffie,zwart,0.31
koken,eten,0.22
koken,lekker,0.18
kort,haar,0.07
kort,klein,0.07
kort,lang,0.41
koud,ijs,0.17
koud,sneeuw,0.08
koud,warm,0.21
koud,winter,0.27
krant,lezen,0.14
krant,nieuws,0.21
kruid,eten,0.12
kruid,groen,0.06
kruid,tuin,0.09
kruiden,eten,0.09
kruiden,koken,0.06
kruiden,lekker,0.09
kruiden,thee,0.06
kruiden,tuin,0.06
kuisen,borstel,0.06
kuisen,proper,0.1
kuisen,water,0.07
kunst,mooi,0.08
kunst,schilderij,0.21
kwaad,boos,0.53
lachen,blij,0.06
lachen,leuk,0.08
lachen,plezier,0.17
land,zee,0.07
lang,groot,0.14
lang,haar,0.09
lang,kort,0.36
lastig,kind,0.06
lastig,moeilijk,0.44
lastig,vervelend,0.15
lawaai,geluid,0.14
lawaai,luid,0.06
lawaai,muziek,0.08
leeftijd,jong,0.22
leeftijd,oud,0.2
leeg,niets,0.13
leeuw,dier,0.11
leeuw,koning,0.06
leger,groen,0.16
leger,oorlog,0.18
leger,soldaat,0.1
lekker,eten,0.3
lekker,ijs,0.08
lekker,snoep,0.1
lelijk,mooi,0.27
lelijk,vies,0.08
lente,bloemen,0.09
lente,groen,0.1
lente,vogels,0.07
lente,zomer,0.11
lente,zon,0.17
leren,school,0.2
leren,studeren,0.32
les,leren,0.12
les,saai,0.16
les,school,0.14
leven,dood,0.22
lezen,boek,0.73
licht,donker,0.17
licht,zon,0.2
lied,muziek,0.18
lied,zingen,0.27
lief,liefde,0.07
lief,meisje,0.06
lief,zacht,0.08
liefde,hart,0.13
liefde,rood,0.14
lijn,recht,0.12
loon,geld,0.37
lopen,moe,0.07
lopen,sport,0.11
lucht,blauw,0.3
lucht,vliegtuig,0.06
luid,hard,0.14
luid,lawaai,0.25
luid,muziek,0.17
machine,lawaai,0.07
machine,werk,0.06
maken,doen,0.16
man,groot,0.06
man,vrouw,0.56
meisje,mooi,0.1
meisje,vrouw,0.07
melk,koe,0.36
melk,wit,0.3
mens,dier,0.16
mens,man,0.13
mensen,dieren,0.07
mensen,veel,0.06
mes,eten,0.07
mes,gevaarlijk,0.06
mes,scherp,0.3
metaal,hard,0.08
metaal,ijzer,0.27
metaal,koud,0.09
middeleeuwen,geschiedenis,0.07
middeleeuwen,kasteel,0.06
modder,bruin,0.13
modder,vuil,0.33
mode,kledij,0.07
mode,kleding,0.13
mode,kleren,0.06
moe,bed,0.07
moe,slapen,0.27
moeder,lief,0.06
moeilijk,examen,0.14
moeilijk,gemakkelijk,0.13
moeten,doen,0.08
mond,eten,0.08
mond,tanden,0.14
mooi,lelijk,0.12
mooi,natuur,0.06
moord,bloed,0.08
moord,dood,0.26
muis,computer,0.06
muis,grijs,0.11
muis,kaas,0.12
muis,kat,0.19
muis,klein,0.1
muur,huis,0.09
muur,rood,0.09
muur,steen,0.14
naaien,naald,0.28
naald,naaien,0.2
nacht,dag,0.12
nacht,donker,0.48
nacht,slapen,0.12
nacht,sterren,0.1
nadenken,hersenen,0.08
nadenken,moeilijk,0.08
nat,regen,0.4
nat,water,0.24
natuur,boom,0.17
natuur,bos,0.12
natuur,groen,0.25
nederland,kaas,0.13
negatief,slecht,0.22
net,internet,0.07
net,proper,0.22
net,vis,0.14
net,vissen,0.16
netjes,proper,0.5
neus,gezicht,0.1
niets,leeg,0.18
niets,weinig,0.06
nieuw,mooi,0.08
nieuw,oud,0.12
nieuws,krant,0.07
nieuws,televisie,0.1
nieuws,tv,0.12
nu,direct,0.09
ochtend,moe,0.1
ochtend,zon,0.11
ogen,blauw,0.31
ogen,bril,0.06
ogen,kijken,0.12
ogen,zien,0.11
olie,auto,0.08
olie,vuur,0.07
oma,lief,0.14
oma,oud,0.24
onderzoek,dokter,0.07
onderzoek,universiteit,0.06
ongeluk,auto,0.22
ongeluk,ongeval,0.08
ongeval,auto,0.22
ongeval,dood,0.06
ongeval,erg,0.06
ongeval,ongeluk,0.06
ongeval,pijn,0.09
oog,blauw,0.07
oog,bril,0.08
oog,zien,0.26
oor,geluid,0.07
oorlog,geweld,0.06
open,deur,0.15
oranje,kleur,0.15
oranje,nederland,0.15
oud,jong,0.16
oud,oma,0.16
ouders,moeder,0.11
paard,dier,0.11
papier,pen,0.16
papier,schrijven,0.13
papier,wit,0.18
pastoor,kerk,0.44
pastoor,priester,0.2
pc,computer,0.34
pc,internet,0.07
pc,werk,0.11
pen,papier,0.13
pen,schrijven,0.47
pijn,wonde,0.14
plant,bloem,0.06
plant,groen,0.43
plant,water,0.07
plezier,lachen,0.14
plezier,vrienden,0.09
poep,hond,0.11
poetsen,kuisen,0.31
politie,blauw,0.25
politiek,saai,0.13
post,brief,0.38
potlood,pen,0.06
potlood,schrijven,0.19
potlood,tekenen,0.13
praten,babbelen,0.2
praten,vrienden,0.07
priester,kerk,0.56
priester,pastoor,0.08
proper,kuisen,0.08
proper,net,0.11
proper,netjes,0.12
proper,vuil,0.1
recht,lijn,0.08
reclame,tv,0.11
regen,nat,0.38
regering,politiek,0.1
reis,vakantie,0.2
reis,vliegtuig,0.1
reis,zon,0.07
reizen,vakantie,0.12
reizen,vliegtuig,0.2
reizen,zon,0.08
rekenen,cijfers,0.1
rekenen,wiskunde,0.14
restaurant,eten,0.67
rijk,arm,0.26
rijk,geld,0.42
ring,huwelijk,0.06
ring,rond,0.1
ring,trouwen,0.22
rivier,water,0.54
roepen,boos,0.06
roepen,lawaai,0.07
roepen,luid,0.16
rok,broek,0.1
rok,kort,0.08
rok,meisje,0.11
rok,vrouw,0.09
rok,zomer,0.13
roken,stank,0.09
roken,vies,0.07
rommel,vuil,0.07
rond,bal,0.29
rond,dik,0.1
rood,bloed,0.19
rood,hart,0.1
rood,kleur,0.12
rood,liefde,0.12
ruimte,sterren,0.15
rust,slapen,0.12
ruzie,roepen,0.08
saai,les,0.2
saai,school,0.07
saai,vervelend,0.07
saai,x,0.06
samen,gezellig,0.08
samen,twee,0.12
scherp,mes,0.6
schilderij,kunst,0.12
schilderij,muur,0.06
schilderij,verf,0.15
schip,boot,0.35
schip,water,0.14
schip,zee,0.19
schoen,voet,0.14
schoenen,winkel,0.06
school,leren,0.2
school,les,0.06
schrijven,boek,0.09
schrijven,brief,0.08
schrijven,lezen,0.06
schrijven,papier,0.06
schrijven,pen,0.39
seks,leuk,0.06
seks,liefde,0.1
seks,man,0.1
sex,lekker,0.06
sex,liefde,0.08
sex,vrouw,0.07
slaan,pijn,0.34
slag,pijn,0.06
slag,slaan,0.06
slang,dier,0.06
slang,lang,0.07
slapen,bed,0.48
slapen,moe,0.08
slapen,nacht,0.06
slecht,goed,0.11
slecht,weer,0.1
slim,dom,0.14
slim,school,0.09
sneeuw,koud,0.07
sneeuw,wit,0.64
snel,auto,0.11
snel,lopen,0.09
snoep,chocolade,0.06
snoep,lekker,0.21
snoep,suiker,0.06
snoep,zoet,0.17
soep,groenten,0.13
soep,lekker,0.09
soep,warm,0.25
soldaat,geweer,0.1
soldaat,leger,0.34
soldaat,oorlog,0.31
spaghetti,eten,0.09
