source,target,weight
film,movie,0.51
find,look,0.0707070707070707
find,lost,0.0606060606060606
finger,hand,0.131313131313131
fire,hot,0.15
fire,water,0.07
fish,water,0.1
fix,broken,0.0618556701030928
flower,power,0.08
flowers,pretty,0.06
flowers,smell,0.08
fly,airplane,0.06
fly,bird,0.07
fly,bug,0.06
fly,insect,0.06
fly,plane,0.12
food,eat,0.26
foot,ball,0.0707070707070707
foot,hand,0.0808080808080808
foot,shoe,0.0707070707070707
football,game,0.0909090909090909
football,sport,0.0707070707070707
forever,alone,0.21
fruit,apple,0.35
full,complete,0.121212121212121
full,empty,0.222222222222222
fun,happy,0.12
funny,laugh,0.262626262626263
game,fun,0.08
game,play,0.31
games,board,0.0808080808080808
games,fun,0.242424242424242
games,play,0.151515151515152
garbage,bag,0.0816326530612245
garbage,trash,0.377551020408163
garden,flower,0.08
garden,flowers,0.22
gas,car,0.12
ghost,white,0.09
girl,boy,0.47
girl,female,0.08
girl,friend,0.08
girl,woman,0.11
glass,clear,0.09
glass,cup,0.08
glass,drink,0.11
glass,water,0.09
glass,wine,0.06
glasses,eyes,0.204081632653061
go,leave,0.12
go,move,0.06
go,stop,0.09
god,religion,0.0606060606060606
gold,metal,0.06
gold,money,0.1
good,bad,0.36
good,great,0.06
government,people,0.06
government,politics,0.07
grass,green,0.7
great,big,0.08
great,good,0.12
great,large,0.11
green,blue,0.0707070707070707
green,color,0.101010101010101
green,grass,0.191919191919192
group,people,0.08
guess,question,0.09
guitar,instrument,0.0808080808080808
guitar,music,0.151515151515152
hair,color,0.08
hair,head,0.07
hand,finger,0.08
hand,foot,0.09
happy,sad,0.15
hard,easy,0.09
hard,soft,0.2
hat,head,0.295918367346939
hat,top,0.122448979591837
hate,anger,0.07
hate,love,0.34
head,hair,0.0714285714285714
head,top,0.0918367346938776
health,good,0.12
heart,love,0.25
heat,cold,0.09
heat,fire,0.07
heat,hot,0.21
heat,warm,0.09
heavy,light,0.12
heavy,weight,0.19
help,me,0.161616161616162
high,up,0.08
hit,ball,0.06
hit,run,0.07
home,family,0.07
home,heart,0.07
home,house,0.34
honest,true,0.181818181818182
honest,truth,0.0606060606060606
horse,animal,0.17
horse,cow,0.08
hot,cold,0.29
hot,warm,0.07
house,home,0.58
hurt,pain,0.45
ice,cold,0.44
ice,water,0.12
ice cream,cold,0.17
ice cream,sandwich,0.06
idea,think,0.0606060606060606
idiot,dumb,0.153061224489796
idiot,stupid,0.183673469387755
illness,disease,0.0606060606060606
illness,sick,0.484848484848485
indian,food,0.07
insect,bug,0.505050505050505
instrument,band,0.06
instrument,guitar,0.08
instrument,music,0.23
instrument,play,0.07
internet,computer,0.131313131313131
iron,clothes,0.0909090909090909
iron,metal,0.111111111111111
island,beach,0.06
island,ocean,0.06
island,water,0.06
jail,prison,0.383838383838384
jesus,god,0.12
job,work,0.408163265306122
join,together,0.08
kill,dead,0.0808080808080808
kind,nice,0.21
king,queen,0.535353535353535
knife,cut,0.15
knife,sharp,0.24
knowledge,power,0.19
knowledge,smart,0.09
language,speak,0.08
language,words,0.08
large,big,0.5
large,small,0.16
laugh,cry,0.12
laugh,funny,0.09
laugh,happy,0.06
law,lawyer,0.0909090909090909
lawyer,court,0.0808080808080808
lawyer,law,0.0606060606060606
lazy,dog,0.09
lazy,fat,0.06
lazy,tired,0.09
leader,boss,0.0612244897959184
leave,go,0.242424242424242
letter,box,0.06
letter,mail,0.16
letter,word,0.06
lie,down,0.11
lie,false,0.06
lie,truth,0.13
life,death,0.247422680412371
light,bright,0.13
light,dark,0.21
like,love,0.242424242424242
lion,cat,0.0606060606060606
lion,king,0.111111111111111
long,short,0.36
long,time,0.06
look,see,0.56
lots,many,0.343434343434343
loud,music,0.0714285714285714
loud,noise,0.163265306122449
love,hate,0.15
love,heart,0.17
machine,gun,0.0808080808080808
machine,metal,0.0606060606060606
mad,angry,0.44
mad,crazy,0.14
mail,letter,0.16
mail,man,0.07
man,woman,0.575757575757576
many,lots,0.23
many,more,0.06
map,world,0.142857142857143
marriage,love,0.101010101010101
marriage,wedding,0.151515151515152
marriage,wife,0.0606060606060606
math,hard,0.0816326530612245
math,numbers,0.13265306122449
maybe,not,0.0808080808080808
maybe,yes,0.0707070707070707
me,you,0.255102040816327
mean,angry,0.07
meat,food,0.131313131313131
medicine,doctor,0.292929292929293
medicine,drug,0.0606060606060606
medicine,health,0.0606060606060606
meeting,boring,0.0707070707070707
meeting,business,0.0707070707070707
meeting,place,0.0606060606060606
meeting,work,0.0808080808080808
metal,gold,0.0707070707070707
metal,hard,0.0606060606060606
metal,heavy,0.111111111111111
metal,iron,0.131313131313131
metal,music,0.121212121212121
military,army,0.21
military,war,0.12
milk,cow,0.27
milk,drink,0.08
milk,white,0.14
mind,brain,0.22
mind,think,0.06
mine,gold,0.0612244897959184
money,green,0.08
moon,stars,0.0808080808080808
moon,sun,0.222222222222222
mother,love,0.07
mountain,high,0.121212121212121
mountain,top,0.0909090909090909
mouse,cat,0.141414141414141
mouse,computer,0.101010101010101
mouse,small,0.0707070707070707
move,fast,0.07
move,house,0.11
movie,film,0.36734693877551
music,song,0.0606060606060606
name,me,0.0816326530612245
nature,green,0.09
nature,tree,0.06
nature,trees,0.09
near,close,0.31
needle,sharp,0.06
new,old,0.292929292929293
new,shiny,0.111111111111111
news,newspaper,0.07
news,paper,0.31
newspaper,news,0.111111111111111
newspaper,paper,0.0606060606060606
nice,good,0.1
nice,kind,0.08
night,dark,0.2
night,day,0.23
night,time,0.07
no,yes,0.39
noise,loud,0.326530612244898
noise,sound,0.13265306122449
nose,face,0.252525252525253
nose,smell,0.101010101010101
not,no,0.216494845360825
not,now,0.0618556701030928
number,letter,0.0606060606060606
number,one,0.202020202020202
numbers,math,0.17
numbers,one,0.06
ocean,blue,0.09
ocean,sea,0.34
ocean,water,0.19
odd,ball,0.06
odd,weird,0.14
oil,black,0.08
oil,gas,0.08
old,new,0.16
old,young,0.25
one,two,0.32
open,close,0.31
open,door,0.11
orange,apple,0.121212121212121
orange,fruit,0.313131313131313
pain,hurt,0.244897959183673
paint,color,0.191919191919192
paint,house,0.0808080808080808
painting,art,0.255102040816327
painting,picture,0.102040816326531
pants,clothes,0.0606060606060606
paper,news,0.08
paper,pen,0.08
part,hair,0.101010101010101
party,animal,0.07
party,fun,0.17
pay,money,0.29
peace,calm,0.0606060606060606
peace,love,0.202020202020202
peace,war,0.161616161616162
peace,world,0.111111111111111
pen,paper,0.11
pen,writing,0.06
penis,sex,0.11340206185567
people,person,0.11
person,man,0.0714285714285714
person,people,0.183673469387755
phone,talk,0.06
picture,painting,0.07
pie,apple,0.326530612244898
pie,cake,0.0918367346938776
pie,food,0.0816326530612245
place,home,0.183673469387755
plane,air,0.15
plane,fly,0.12
plant,green,0.26
plant,tree,0.1
play,ball,0.0707070707070707
play,fun,0.131313131313131
play,games,0.131313131313131
police,car,0.06
police,law,0.11
politics,government,0.121212121212121
poop,dog,0.0967741935483871
poor,rich,0.202020202020202
pop,music,0.1
potato,chips,0.0618556701030928
power,electricity,0.07
power,strength,0.08
pretty,beautiful,0.19
pretty,cute,0.07
pretty,girl,0.12
pretty,nice,0.07
priest,church,0.09
prison,jail,0.42
queen,bee,0.08
queen,king,0.35
quick,fast,0.58
race,run,0.13
rain,snow,0.07
rain,water,0.09
rain,wet,0.17
red,blood,0.06
red,blue,0.19
red,color,0.2
religion,church,0.06
religion,god,0.19
rich,money,0.191919191919192
