regime,recurrence_rate,fixed_point_fraction,limit_cycle_fraction,threshold
normative,0.08527777777777779,0.09722222222222221,0.3762755102040817,0.09237095713615417
anxious,0.01575757575757576,0.10101010101010102,0.07653061224489796,0.17108255624771118
ruminative,0.21896464646464647,0.09090909090909091,0.6862244897959183,0.10561924427747726
psychotic,0.015025252525252525,0.10101010101010102,0.06505102040816327,0.06429167836904526
