regime,mean_c_ent_variance,mean_residence_fraction_high_entropy,mean_hidden_entropy_production_rate,mean_hurst_exponent,mean_associator_norm,mean_h_entropy
normative,0.019666841253638268,0.14144759999999998,0.0016760078724473715,0.7826638377406362,0.2727181017398834,0.9952461123466492
anxious,0.015830522403120995,0.18540900000000002,0.014764606021344662,0.8750877666718762,0.05174228549003601,0.9441724419593811
ruminative,0.013011978007853031,0.12118499999999999,0.0005342161166481674,0.5412098022736437,0.2275242656469345,0.9987028241157532
psychotic,0.009495732374489307,0.237891,0.021218813955783844,0.8324121045820521,0.006205380894243717,0.9192182421684265
