idx,node,kappa,entropy_norm,c_ent,valence,poincare_x,poincare_y,log_degree,eta_local
0,abandoned,-0.1502026637908583,0.9697622242742583,-0.07291279776841744,0.0,0.04946572575914236,-0.27899163121680287,0.43410695327126697,1.0
1,abilities,-0.21199641257579258,0.9999999999999989,-0.0,0.0,0.005638420792306282,-0.05455140041368002,0.3440216211186347,1.0
2,ability,-0.2198524314152719,0.991837346138034,-0.028809713557164586,0.0,0.1945673185096823,-0.5055349736111089,0.43410695327126697,1.0
3,about,-0.375509432146523,0.9379428001424324,-0.37410138185444447,0.0,0.9468616605345196,0.07715518277485194,0.9764345431261475,1.0
4,above,-0.15137334521805157,0.9795697645470599,-0.04964769234973731,0.0,-0.05193443736202027,-0.4022745736002924,0.3255802149534502,1.0
5,absence,-0.029793935335185217,0.9999999999999988,-5.3102429052216874e-17,0.0,-0.09164896417365365,-0.05918839227345017,0.3255802149534502,1.0
6,absentee,-0.20334285211228856,0.9999999999999989,-0.0,0.0,-0.16009365927127414,-0.1643283911026661,0.3440216211186347,1.0
7,absolute,-0.2564366959933094,0.9999999999999989,-0.0,0.0,-0.03713684380490455,0.17321309668264762,0.4435990101561753,1.0
8,absolutely,-0.32009438997281925,0.974341500843278,-0.13185165912211505,0.0,0.6270018345413808,-0.43251458282338373,0.5814376444292814,1.0
9,abuse,-0.23252282718739337,0.9999999999999989,-0.0,0.0,-0.22177640592760162,-0.08890013979259681,0.4435990101561753,1.0
10,abused,-0.2525156772953148,0.988818140494855,-0.04532926364613463,0.0,0.7102048700774587,-0.2289549948458174,0.5610750977542682,1.0
11,abusers,-0.16693386649499853,0.9999999999999989,-0.0,0.0,0.05215306480944371,-0.1627680834054082,0.3440216211186347,1.0
12,abuses,-0.07119757793844157,0.9999999999999989,-0.0,0.0,-0.05686266079430964,-0.029024251160544256,0.3440216211186347,1.0
13,abusing,-0.22613702639948063,0.9999999999999989,-0.0,0.0,0.07106906328464101,-0.27217660139283106,0.3440216211186347,1.0
14,abusive,-0.19123273189456214,0.9780814519975213,-0.06728996414092737,0.0,-0.6357992827484092,0.4430337580507381,0.5960129038652622,1.0
15,accept,-0.14916112321591674,0.9999999999999989,-0.0,0.0,-0.03867638048061276,-0.33196276354903775,0.3440216211186347,1.0
16,acceptance,-0.29340535692669995,0.9999999999999989,-0.0,0.0,-0.00861462422714267,-0.19856063279109856,0.2519912827466275,1.0
17,accepted,-0.39493156461686724,0.9999999999999989,-0.0,0.0,-0.3385538906045779,0.5863284594034904,0.527220832211137,1.0
18,accepting,-0.19040525159917063,0.9849357563894747,-0.04604712709557249,0.0,0.039630005786411265,0.003943112216456386,0.4240020933059449,1.0
19,accident,-0.08881563480701839,0.9907755543529597,-0.013152429640545181,0.0,0.30162772451408143,-0.07613033385914927,0.4909274246694307,1.0
20,accidentally,0.00024209611215652392,0.9999999999999991,-8.629871465436897e-19,0.0,-0.09489305527349479,-0.0976546924870271,0.2805375488771341,1.0
21,accidents,-0.07446759488516944,0.9999999999999989,-0.0,0.0,0.13415390864970259,-0.02818665853017301,0.3440216211186347,1.0
22,accomplishments,-0.290401852035258,0.9999999999999989,-0.0,0.0,-0.09052562547633482,-0.257243245162478,0.3440216211186347,1.0
23,account,-0.16904154699415666,0.9764566713769741,-0.06389069463317458,0.0,-0.2933546687832724,0.11514336911805846,0.4766838835506978,1.0
24,accountability,-0.3403761293233414,0.9999999999999989,-0.0,0.0,0.11859114867638447,-0.17436992568970602,0.3440216211186347,1.0
25,accountable,-0.11827529904372037,0.9999999999999989,-0.0,0.0,-0.06664857524066088,-0.17496181297956354,0.3440216211186347,1.0
26,accounts,-0.1306489747858471,0.9795697645470599,-0.0428504773851216,0.0,0.011497084577231469,-0.05047831477451414,0.3255802149534502,1.0
27,accused,0.0014161247015064958,0.9999999999999989,0.0,0.0,0.11661959662232534,-0.27372521856089416,0.3440216211186347,1.0
28,achieve,-0.053911319460492525,0.9823368126263234,-0.015287107652313357,0.0,0.1689883083582104,-0.42412949874448064,0.40159665295155383,1.0
29,achievments,-0.21790850967834233,0.9999999999999989,-0.0,0.0,0.028122670969702834,-0.12339375783989802,0.3440216211186347,1.0
30,acing,-0.09404195965798422,0.9999999999999989,-0.0,0.0,0.032875429387283814,-0.12875716837247983,0.3440216211186347,1.0
31,acknowledge,-0.42627227009122637,0.9890636186980407,-0.07484055719748518,0.0,-0.5721798636661038,-0.40778617175912496,0.5101233912693706,1.0
32,acknowledgment,-0.1619275664938981,0.9999999999999989,-0.0,0.0,-0.2073093255211945,-0.14701369862446528,0.3440216211186347,1.0
33,across,-0.15647851259450005,0.9999999999999989,-0.0,0.0,-0.40870464682178975,-0.19048167675529515,0.4435990101561753,1.0
34,acting,-0.1637613299146428,0.9999999999999989,-0.0,0.0,0.004564139091431324,0.09791303673544628,0.43410695327126697,1.0
35,action,-0.22577113113906222,0.9795697645470599,-0.07404880723285792,0.0,0.05270578002919799,-0.14868596901878253,0.3255802149534502,1.0
36,actions,-0.1712544491274147,0.9941931084009089,-0.01596474068529609,0.0,0.7592996095210733,0.28716411421058763,0.5994541629872474,1.0
