idx,node,kappa,entropy_norm,c_ent,valence,poincare_x,poincare_y,log_degree,eta_local
0,aaaaaaaaaaaaaaaaaaaaaaaaa,-0.07205441133576365,0.9671320180863529,-0.052913395219800874,0.0,-0.07230776311141679,0.21886302893165105,0.29347052722632694,1.0
1,abandoned,-0.2977145321925834,0.9999999999999989,-0.0,0.0,0.21911693214886974,0.37207187808086867,0.4272882867836915,1.0
2,abandonment,-0.28977653959488336,0.9999999999999989,-0.0,0.0,0.16313927452243676,-0.07734961183560321,0.331372265805051,1.0
3,ability,-0.13401316582821346,0.9890636186980407,-0.032745613076177564,0.0,0.08627149933932618,0.1310861528403616,0.4913666282236219,1.0
4,abitur,0.005232731316716807,0.9999999999999989,0.0,0.0,-0.1982716936585002,0.27014721334843816,0.331372265805051,1.0
5,abnormal,-0.2760087978322867,0.9999999999999989,-0.0,0.0,0.1723910360208793,0.35076776209665145,0.331372265805051,1.0
6,about,-0.6432665599207118,0.9312955157744885,-0.9874339937961458,0.0,-0.8790003903771821,-0.3603585110422974,1.0,1.0
7,above,-0.07695394050920883,0.9849357563894747,-0.025900622904178768,0.0,-0.15341472719400104,0.21277906542045535,0.40841193035487666,1.0
8,abroad,-0.3281008596850879,0.9999999999999989,-0.0,0.0,0.04993647241702176,0.4772795786042354,0.4272882867836915,1.0
9,abruptly,-0.3613841538012799,0.9999999999999989,-0.0,0.0,0.11162608129665497,0.06115579893447973,0.331372265805051,1.0
10,absent,-0.3223605214797592,0.9999999999999989,-0.0,0.0,0.4225645908496377,0.09709150429714138,0.4272882867836915,1.0
11,absolute,-0.3342593594636648,0.991837346138034,-0.060960282736511696,0.0,-0.32622333577531754,-0.06528825182358991,0.41814524400959263,1.0
12,absolutely,-0.3476238664474831,0.9907357696078117,-0.07195333831892396,0.0,0.7816827734991517,0.5348915277458698,0.6735215450529211,1.0
13,abuse,-0.5409527690437207,0.9564817089403469,-0.5259726914494787,0.0,0.2542612904819201,-0.7532104908049703,0.5525164501237493,1.0
14,abused,-0.51255549749426,0.9999999999999993,5.085610938276659e-15,0.0,-0.1432528889241067,-0.16704484271608347,0.3868303172212238,1.0
15,abusers,-0.3389556593787716,0.9999999999999989,-0.0,0.0,-0.01198836328220733,0.17906689717088628,0.24272579745235115,1.0
16,abuses,0.03156747976529495,0.9999999999999988,7.830367695451796e-17,0.0,0.06320066855422568,0.01912521472773859,0.29347052722632694,1.0
17,abusive,-0.34523021459848363,0.9999999999999983,-4.281747450200035e-15,0.0,0.4637478242425895,0.203504347860181,0.4728764794769924,1.0
18,accept,-0.3172460693611669,0.9686607078818193,-0.22213523309060362,0.0,-0.4806862773916184,0.7779375905442216,0.6070794602335214,1.0
19,accepting,0.33372643235326555,0.9999999999999991,-1.6556283203135668e-15,0.0,0.08585345525846039,0.1817279170702804,0.2702224439049236,1.0
20,access,-0.2823840311510875,0.9999999999999991,1.4009169003525418e-15,0.0,0.16975619064061065,0.1456945910653533,0.2702224439049236,1.0
21,accidently,-0.15166984629560343,0.9999999999999989,-0.0,0.0,-0.12301553236730155,0.26413496442598544,0.331372265805051,1.0
22,accomplishments,-0.2167006568190194,0.9795697645470599,-0.09891578794648521,0.0,0.06675620460841018,0.24057144835288272,0.31360893300719445,1.0
23,according,-0.20624141749266592,0.9918373461380338,-0.03761311319002538,0.0,-0.055428829238483295,-0.028832821568005526,0.41814524400959263,1.0
24,account,-0.577183265448734,0.9999999999999989,-0.0,0.0,0.3594760472073078,-0.01939309578825145,0.40841193035487666,1.0
25,accounting,-0.23304000354551818,0.9999999999999989,-0.0,0.0,-0.09855402223891167,-0.10806253365267801,0.331372265805051,1.0
26,accurate,0.04208293008217561,0.9999999999999989,0.0,0.0,-0.23039223438671794,-0.06561574839755556,0.331372265805051,1.0
27,accurately,-0.2210707140935672,0.9795697645470599,-0.10091055651354212,0.0,-0.03255159249924026,0.02415912181928412,0.31360893300719445,1.0
28,accusatory,-0.10096304695470472,0.9795697645470599,-0.046085874817367305,0.0,0.2165898491861486,0.07200594522392631,0.31360893300719445,1.0
29,accused,-0.29975235851313803,0.9795697645470599,-0.13682580000626018,0.0,0.16402489483222263,0.328104349596205,0.31360893300719445,1.0
30,accustomed,-0.3092168895646183,0.9795697645470599,-0.14114600632332278,0.0,0.13018767338841167,0.048815221191751024,0.31360893300719445,1.0
31,achievable,-0.3151713134598795,0.9999999999999989,-0.0,0.0,-0.07101883446497555,0.26692127200426785,0.331372265805051,1.0
32,achieve,-0.25582021543145556,0.9999999999999989,-0.0,0.0,0.023612569411708244,0.15607831272054168,0.4272882867836915,1.0
33,achievement,-0.37694423745077243,0.9999999999999989,-0.0,0.0,0.22821523670532265,0.10623834406326424,0.331372265805051,1.0
34,acknowledge,-0.08925576952836216,0.9795697645470599,-0.04074193821683395,0.0,0.2896813549836636,0.04351143096721801,0.31360893300719445,1.0
35,across,-0.24374255552841448,0.9935008545662162,-0.0353931837688109,0.0,-0.1341341677653524,-0.3015786910563146,0.5178934062695358,1.0
36,acting,-0.22202931442665155,0.9999999999999989,-0.0,0.0,0.08307139691251231,0.10324311361180108,0.331372265805051,1.0
37,actions,-0.2667246592506245,0.987065751613344,-0.07707905494159346,0.0,0.7713423003845739,0.1898039871678581,0.5445770371818777,1.0
38,active,-0.38875227174398824,0.9871893284862591,-0.1112696829684858,0.0,-0.09784640375463854,0.4946999182820882,0.4970583987075765,1.0
39,actively,-0.29881245754911934,0.9999999999999989,-0.0,0.0,-0.021265742534861045,-0.3368471798406443,0.4272882867836915,1.0
40,activity,-0.11524877596433158,0.9795697645470599,-0.052606778639810996,0.0,-0.0819177957928521,0.24156326736683392,0.31360893300719445,1.0
41,actual,-0.06042136696903201,0.9906360659049801,-0.012640984834477856,0.0,0.2943049142819331,0.75177311085261,0.5869410544526539,1.0
42,actually,-0.2521356968372085,0.9767584279127246,-0.13092779469623367,0.0,-0.8139318089259467,-0.4899104798470137,0.7806359362267107,1.0
43,adamant,0.06644960674637895,0.9795697645470599,0.030331773362097445,0.0,0.2641741500790753,0.09116633846751863,0.31360893300719445,1.0
44,added,-0.11968133624807907,0.9999999999999989,-0.0,0.0,0.19299519753951128,0.24864276908361804,0.331372265805051,1.0
45,addicted,-0.11461196674221506,0.9999999999999989,-0.0,0.0,0.07920209962320783,0.14601833397008096,0.331372265805051,1.0
46,addiction,-0.5062282255680701,0.9622010226398479,-0.4275219545545417,0.0,-0.21573040247665887,0.828886344437122,0.5899879059071005,1.0
47,adding,-0.35422921568809335,0.9999999999999989,-0.0,0.0,0.22977870575430284,0.046897266760971834,0.331372265805051,1.0
48,addition,-0.246880407817043,0.9999999999999989,-0.0,0.0,0.23549179418785324,-0.012646746417358808,0.331372265805051,1.0
49,additionally,-0.3473459337633011,0.9795697645470599,-0.15855049648926145,0.0,-0.031236050089388744,0.07460365489107862,0.31360893300719445,1.0
50,addsome,-0.278890562016163,0.9999999999999989,-0.0,0.0,0.08792943796540069,0.2325300640886509,0.331372265805051,1.0
51,adequate,-0.36234948296244535,0.9283832117695855,-0.5797950481311789,0.0,-0.10072412885151488,0.062491166967776395,0.2702224439049236,1.0
52,adjusted,-0.3953240976118845,0.9795697645470599,-0.18045074335963301,0.0,0.014697908228412241,0.11667763214866879,0.31360893300719445,1.0
