words,type,token,indegree_unw,outdegree_unw,degree_unw,indegree_wei,outdegree_wei,cc_unw,cc_wei,pageRank_unw,pageRank_wei,hubs_unw,hubs_wei,authorities_unw,authorities_wei,incloseness_unw,outcloseness_unw,incloseness_wei,outcloseness_wei,betweenness_unw,betweenness_wei
一流,6,6,6,21,27,0.141850673050175,1,0.0626780626780627,0.00266596779253135,3.08723945731157e-05,1.96381559923772e-05,0.000114782547330327,4.82111846381635e-05,3.59962986668186e-05,1.61174925888961e-05,2.47671884287696e-05,2.77970813064628e-05,2.62259423131859e-05,2.99464815273154e-05,4978.82718023646,4286.5
一点,14,29,14,20,34,0.683320519561442,1,0.0718132854578097,0.00384387002120368,8.05978265106451e-05,5.32397415243101e-05,0.000111228523864216,0.000415769944806918,7.98004792658074e-05,7.33887427622632e-05,2.94611554665174e-05,2.72635568036206e-05,3.1501546684989e-05,2.92111201677413e-05,21058.6100809517,19523
一点点,11,29,11,21,32,0.780744153618507,1,0.0906313645621181,0.00478031182297545,5.83166785265638e-05,6.39946116882102e-05,0.00010930461276701,5.93406516614818e-05,5.01379925585093e-05,0.000109468567602366,2.74333369911116e-05,2.73171797743601e-05,3.09973368031874e-05,2.92107840931218e-05,24779.6507707364,28632
一片,5,17,5,22,27,0.39278282429259,1,0.0343839541547278,0.00173639891458395,4.98023375010152e-05,4.57375301324329e-05,8.7767156080378e-05,2.33514186294872e-05,1.42558475941135e-05,5.18322937556991e-06,2.74876305662452e-05,2.6992010364932e-05,2.95231372431287e-05,2.87298302238948e-05,7190.49087924065,8232
一生,11,12,11,18,29,0.277676767495996,1,0.0655940594059406,0.00302260057040204,6.59311964318862e-05,3.61372561635746e-05,0.000218214586378986,5.87564658537065e-05,6.67118379827954e-05,1.38318286558725e-05,2.83486888731396e-05,2.70401817100211e-05,3.0216908036201e-05,2.89523802747419e-05,13664.7128827221,13099
一百,10,20,10,14,24,0.505102454455302,1,0.133211678832117,0.00902768961249697,5.53694440039902e-05,4.42986326356591e-05,6.02083414533207e-05,0.00250466690539703,4.69907448273989e-05,0.000315740971981157,2.69070361899637e-05,2.6440337378705e-05,2.87612930773739e-05,2.84431146668493e-05,10805.9044889847,12325
一百分,4,9,4,18,22,0.221557028243075,1,0.146288209606987,0.00722600006692982,3.38654114836258e-05,3.58503665269272e-05,0.000105854240843289,3.36731613869279e-05,1.89598453033682e-05,1.41826459703179e-05,2.53575413327924e-05,2.73890060529703e-05,2.71732518986236e-05,2.93253752724433e-05,2279.77536036461,1644
一直,12,32,12,21,33,0.777971219149177,1,0.0418250950570342,0.00242987524782521,4.87005181311664e-05,4.57192904459867e-05,6.47788300795035e-05,9.4186894606753e-06,4.95109309481317e-05,1.99719469914742e-05,2.70885253006826e-05,2.75664351086118e-05,2.89996067807075e-05,2.94053030481667e-05,14711.6578169356,18623.5
一笑,2,22,2,13,15,0.505128205128205,1,0.0673076923076923,0.00490735027824333,1.97898310660169e-05,2.32544967257636e-05,7.79604146685663e-05,2.08080137220606e-05,6.8818510601344e-06,5.64115122617003e-06,2.13451727891737e-05,2.62756844815807e-05,2.29360827144128e-05,2.81612628078475e-05,1264.06626293423,2480
一群人,7,10,7,30,37,0.203922519489532,1,0.0698198198198198,0.00265838106984982,3.25795938350853e-05,2.69746009251754e-05,0.000155834702064145,3.24122624247473e-05,6.73874959771497e-05,1.28938788711119e-05,2.64648282432647e-05,2.85640835213802e-05,2.8089043417082e-05,3.03694829052614e-05,13514.7993343552,10108.8333333333
一致,18,31,18,24,42,0.746354772538052,1,0.0537383177570093,0.0021624611290492,6.36578593439898e-05,5.06652312225635e-05,5.86172641338726e-05,9.78408222296179e-06,6.44976923052454e-05,1.46934018966223e-05,2.82023802808957e-05,2.8165047176454e-05,3.01477336387139e-05,2.99973220562775e-05,32403.4107163634,32261
一般,29,66,29,18,47,1.56519893110015,1,0.0688372093023256,0.00405450164585351,0.000112617238897525,0.000128561922144508,0.000183361151029167,2.96402879006052e-05,0.000189949366744917,0.000142438313164417,3.03969846191258e-05,2.72590977238653e-05,3.28321957311175e-05,2.95702259446447e-05,30920.7905786357,32198.8333333333
一起,30,45,30,26,56,1.11880443283086,1,0.0296416938110749,0.00128677746430731,0.000123151346274785,0.000108219063614947,0.000101455045452342,2.93964587212672e-05,0.000180840435871766,5.35729628135533e-05,3.07106443093176e-05,2.83760392724384e-05,3.30682635054205e-05,3.01891258490218e-05,46547.1794510719,43159.1666666667
一辈子,9,15,9,28,37,0.405034344502519,0.999999999999999,0.0664652567975831,0.00299644980578335,9.18819422848385e-05,6.37851976912253e-05,0.000231152726883322,5.66164593156664e-05,5.24969572141647e-05,2.44642505945923e-05,2.96612683158332e-05,2.83157775512516e-05,3.17849514761999e-05,3.00238458126142e-05,20735.7125431488,15483.5
丁克,1,1,1,25,26,0.0232558139534884,1,0.0524691358024691,0.00238439488437199,1.98251619075704e-05,1.70474173244492e-05,0.000152358615735284,3.11110255190816e-05,7.36259904448826e-06,7.84420625631186e-06,2.29016374670789e-05,2.81523605754343e-05,2.43824394140896e-05,2.99608077270174e-05,3866.77528727935,2948
七,5,13,5,7,12,0.365170158432354,1,0.1015625,0.0147691736235073,3.92269152952464e-05,3.0250130723575e-05,9.32869891954642e-06,7.37339970688293e-05,1.6081499492533e-05,2.30666420626235e-05,2.58324507246002e-05,2.46214452788379e-05,2.76313622741747e-05,2.75857430120269e-05,3915.78144050306,6394
七彩,6,10,6,15,21,0.277221797810033,1,0.136363636363636,0.00662529753040326,3.97148458156656e-05,4.64390964452784e-05,4.35209392335246e-05,1.1313905972982e-05,2.40703450952807e-05,8.14687060453203e-06,2.62611938338717e-05,2.58111142658029e-05,2.81809365785636e-05,2.81728674610354e-05,2216.41599722708,2530
七星,3,24,3,7,10,0.553997194950912,1,0.0340909090909091,0.00364109394383634,2.52382492201178e-05,3.50427104752579e-05,1.29532865716038e-05,1.07115571469554e-05,1.48416643683166e-05,8.21870901731158e-06,2.51705303430743e-05,2.50551212667869e-05,2.71669326947927e-05,2.76455498009186e-05,2260.806383988,6105
万千,7,22,7,24,31,0.567926287516324,1,0.0431965442764579,0.00202287962191929,2.83249579873945e-05,3.02441273079511e-05,0.00022900963965028,0.000413403021242888,2.39000016203263e-05,1.1310554171714e-05,2.54136064448906e-05,2.85217192892388e-05,2.74372082018951e-05,3.03717660484644e-05,9960.77500777149,13387
万圣节,17,78,17,12,29,1.62294255630027,1,0.0586034912718204,0.00432797109208125,6.68916082110359e-05,8.50851882932805e-05,2.98574715082725e-05,6.10730327277229e-06,8.19376165251212e-05,2.27070449779076e-05,2.78349941546512e-05,2.5790478155465e-05,2.99453192960097e-05,2.82070502754939e-05,17808.3630640514,27442.5
万有引力,4,8,4,12,16,0.201501576240252,1,0.113445378151261,0.00729863806387996,2.98201323093145e-05,2.71830243045873e-05,5.06323514224568e-05,1.59792078796937e-05,2.43041426749069e-05,1.60362535637451e-05,2.49308169828725e-05,2.61185258703999e-05,2.67107167821691e-05,2.86030628153588e-05,1651.08312336211,1335
万物,11,19,11,14,25,0.433352652625992,1,0.0677966101694915,0.00320851022195515,8.1189671250143e-05,5.37513790896729e-05,5.06226868762908e-05,7.60822054595696e-06,7.19882176726234e-05,1.65514135460942e-05,2.95473348303983e-05,2.65681872525838e-05,3.15428065862609e-05,2.88042151817548e-05,14282.1850711707,23619.5
