Responses,Types_R1,Tokens_R1,Hapax_R1,Types_R123,Tokens_R123,Hapax_R123
下巴,3,3,3,12,15,10
抬头,9,14,7,29,48,24
低头族,2,8,1,4,13,2
看地板,1,1,1,1,1,1
捡东西,3,14,2,3,18,2
黑恶势力,3,5,2,5,7,4
弯腰,11,39,7,39,87,33
认输,5,6,4,13,21,8
不见,8,15,6,22,38,17
皇冠,14,21,9,33,53,23
不语,4,5,3,12,14,11
举头,3,3,3,3,3,3
颔首,1,1,1,4,4,4
看手机,1,1,1,3,3,3
认罪,2,2,2,4,4,4
找路,2,2,2,2,2,2
含笑,1,1,1,1,1,1
向大佬低头,1,1,1,1,1,1
鞋带,10,25,5,20,66,8
美味,103,191,74,254,510,150
廉价,11,26,5,44,76,36
次品,2,2,2,8,10,7
蛇皮袋,2,2,2,4,7,3
低价,5,6,4,10,12,9
首饰,21,35,16,59,134,37
微薄,6,8,5,13,16,12
价廉物美,1,1,1,2,4,1
超值,1,1,1,2,2,2
吴磊,3,3,3,6,6,6
男人的声音,1,1,1,1,1,1
嗓音,6,16,3,13,27,8
声音低沉,1,1,1,2,2,2
沉闷,9,10,8,23,27,19
高亢,3,4,2,5,7,3
婉转,4,6,3,14,22,12
美音,1,1,1,1,1,1
中井和哉,1,1,1,2,2,2
大提琴,7,13,4,17,34,12
海浪,33,86,16,76,191,46
挫折,19,36,12,63,103,49
赶海,4,4,4,8,9,7
低估,1,1,1,5,6,4
低谷,8,13,3,22,41,16
低调,11,12,10,31,48,22
性关系低潮,1,1,1,1,1,1
潮时,1,1,1,1,1,1
不景气,2,2,2,3,5,2
蛋白质结构,1,1,1,1,1,1
中级,4,12,3,7,22,4
穷人,20,38,17,51,88,38
草履虫,4,7,3,8,16,6
低俗,19,24,16,54,78,44
幼稚,26,40,19,101,157,77
底下,7,8,6,11,17,9
唐氏,1,1,1,1,1,1
儿,6,13,4,16,24,13
智力障碍,2,2,2,5,6,4
高能,2,4,1,5,11,2
低能儿,2,6,1,2,8,1
赣大,1,1,1,1,1,1
低碳,2,2,2,5,6,4
高分,4,6,2,13,21,11
妈宝,3,4,2,5,6,4
哇哦,3,4,2,6,8,5
手段,32,48,23,94,143,74
泪水,27,41,18,77,118,59
低潮,2,2,2,4,5,3
谷底,5,5,5,8,9,7
耷拉脑袋,1,1,1,1,1,1
沉迷,12,25,7,44,81,33
期,9,10,8,10,14,6
萎靡,5,6,4,16,21,13
低级,10,32,7,24,51,21
抛物线,2,2,2,12,20,10
衰,6,6,6,11,13,9
网球,8,19,6,27,52,22
公积金,5,12,4,8,16,7
居住,14,23,10,35,53,27
宿,1,1,1,2,3,1
泊,2,2,2,3,4,2
如家,3,3,3,3,5,2
衣,11,14,9,15,24,11
居无定所,2,3,1,6,7,5
住下,2,2,2,3,3,3
岛屿,11,17,10,37,60,27
