words,type,token,indegree_unw,outdegree_unw,degree_unw,indegree_wei,outdegree_wei,cc_unw,cc_wei,pageRank_unw,pageRank_wei,hubs_unw,hubs_wei,authorities_unw,authorities_wei,incloseness_unw,outcloseness_unw,incloseness_wei,outcloseness_wei,betweenness_unw,betweenness_wei
T恤,23,27,23,46,69,0.237418219006374,1,0.0926163038839095,0.00187399292646641,4.95335414890894e-05,3.33159431074508e-05,8.91058299486282e-05,0.000185366281141623,4.06218187927139e-05,2.7709469181145e-05,3.39847068819031e-05,3.39120998372219e-05,3.49221665444324e-05,3.51162097516712e-05,5351.98552153033,4030
一,66,127,66,44,110,1.27440921050854,1,0.0430314171122995,0.00120493264072701,9.6690688470865e-05,8.06054075775804e-05,4.49086955059085e-05,5.27181740079336e-05,0.000105261248484022,0.000129393139711324,3.57602631955371e-05,3.3954704424298e-05,3.70736425537406e-05,3.52938909504199e-05,31425.7872976726,31688.5
一下,44,65,44,50,94,0.618890444664227,1,0.0271229114213779,0.000480224080658289,7.00011357578647e-05,5.41701754784156e-05,7.18525786428176e-05,7.46670901400525e-05,8.28202410782686e-05,5.60686536935962e-05,3.52957786248765e-05,3.42067455702265e-05,3.64497317532687e-05,3.54305594655162e-05,23457.9306169582,26877
一丝不苟,14,18,14,43,57,0.16260311973971,1,0.117462311557789,0.00246135597760714,4.300857130686e-05,3.54157099031883e-05,0.000137770838952231,0.000113867734304122,3.01464670545365e-05,1.56145992349755e-05,3.37712336631657e-05,3.39420270178535e-05,3.47156111462839e-05,3.52792087992582e-05,3294.22359722311,2424
一个,85,125,85,50,135,1.27081098428132,1,0.0273230088495575,0.00054369500683566,0.000161083430456995,0.000112603274839002,0.000122355111266735,0.000308277143088669,0.000150988354455808,0.00011268309066934,3.84881841274729e-05,3.43760742523204e-05,4.00841417565983e-05,3.58605221982267e-05,39193.8478009302,39509.6666666667
一个人,117,199,117,64,181,1.79945271936849,1,0.0583481841086462,0.00111017986577334,0.000269851592443156,0.000252955727535285,0.000207343661241385,0.000145898197236502,0.000280776729696183,0.000180111375482267,4.04694455685957e-05,3.49210783628998e-05,4.21911780186576e-05,3.60930789595283e-05,42201.9755394278,32044
一些,14,23,14,57,71,0.244822066247719,1,0.075372833534865,0.00153740052540892,2.73685567375262e-05,2.33102030467713e-05,0.000149679091112104,0.000260998423282893,2.45740579817787e-05,3.38800232272574e-05,3.09157237370927e-05,3.4947927587894e-05,3.18837033514479e-05,3.60784446774639e-05,5094.69671981585,4161
一人,12,22,12,53,65,0.200717884880574,1,0.110120481927711,0.00243159876663377,3.72251386682164e-05,3.73890283765509e-05,0.000122242639813732,9.65235220293917e-05,2.7036642606161e-05,1.80404519048769e-05,3.32867319086612e-05,3.44020916471722e-05,3.43161930367512e-05,3.56591908674736e-05,7005.88722337684,4810
一切,67,109,67,50,117,1.12824566111615,1,0.0332448768981277,0.000622635059482375,0.000108166668141038,7.95610723366685e-05,0.000123890241931352,6.58965385168712e-05,0.000151307969369211,0.000104782480460637,3.66354044548652e-05,3.46620450606586e-05,3.79432790654199e-05,3.5999501129271e-05,28137.2081722281,28982.5
一双,9,23,9,29,38,0.230148419411252,1,0.0989956958393113,0.00316305954363572,3.56250838878053e-05,3.62011720125927e-05,6.96409292282622e-05,8.86300114113661e-05,1.89869545395492e-05,3.14258418788811e-05,3.30087473180393e-05,3.24517280545189e-05,3.40210131355284e-05,3.39842964165944e-05,2012.17879734946,3143
一天,19,22,19,59,78,0.206659972165271,1,0.0774365821094793,0.00143863245364348,4.82810728268692e-05,3.45119506145598e-05,0.000147199939606739,0.000144257270212936,4.48855078506804e-05,2.85865865834049e-05,3.42196215309859e-05,3.45017940932929e-05,3.51875641471655e-05,3.55418043232954e-05,6102.18775450581,4543.5
一定,41,103,41,56,97,0.981018415196056,1,0.0746445497630332,0.00173474159613883,6.31245253346595e-05,8.078054761882e-05,5.76452098168045e-05,3.03221126740814e-05,7.51709595691292e-05,6.44849600511034e-05,3.48019767522795e-05,3.39120998372219e-05,3.63049399986881e-05,3.50539599967759e-05,21408.9963087118,24526
一家人,23,28,23,67,90,0.261917846277839,1,0.0993005246065451,0.00159122115787222,4.95286652011751e-05,3.36233273279869e-05,0.000196413801100572,0.0001198768787865,5.03832324971105e-05,2.61643552403805e-05,3.42665250316965e-05,3.49993000139997e-05,3.51834805708555e-05,3.59512738181968e-05,6221.34591443169,3667
一对,18,32,18,40,58,0.33842522247934,1,0.0820170109356015,0.00207270764764078,3.95383801347023e-05,3.26645124134626e-05,8.97240609877376e-05,7.20407089700702e-05,3.4467052370946e-05,4.13780218070167e-05,3.32457860966123e-05,3.32800851970181e-05,3.42161019701406e-05,3.46509926346305e-05,15568.1896584224,13673
