trajectory_id,step_0,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19,step_20,step_21,step_22,step_23,step_24,step_25,step_26,step_27,step_28,step_29,step_30,step_31,step_32,step_33,step_34,step_35,step_36,step_37,step_38,step_39,step_40,step_41,step_42,step_43,step_44,step_45,step_46,step_47,step_48,step_49,step_50,step_51,step_52,step_53,step_54,step_55,step_56,step_57,step_58,step_59,step_60,step_61,step_62,step_63
32,373,170,373,412,395,270,105,270,369,270,395,412,395,412,395,270,395,347,395,347,389,407,389,407,389,407,389,347,389,347,389,407,389,407,389,407,389,407,389,407,389,407,389,407,389,407,389,407,389,347,395,412,395,270,395,416,395,416,335,132,22,324,79,367
33,399,284,92,68,92,284,267,284,399,284,399,284,268,267,268,267,284,267,268,284,267,284,267,284,399,284,268,267,284,92,238,92,284,267,284,268,267,284,92,68,11,339,11,139,11,115,68,259,68,92,238,92,284,92,68,259,353,396,353,259,353,220,33,220
34,316,77,316,77,171,316,171,316,77,308,77,171,77,171,77,316,171,316,171,212,171,316,77,308,77,171,212,171,212,171,316,171,316,171,212,171,212,171,316,77,308,77,308,77,308,77,316,77,308,77,316,77,308,77,308,77,316,171,77,171,212,171,212,171
35,72,128,72,127,72,128,72,127,72,127,72,128,72,127,72,128,72,361,72,361,72,127,72,127,72,127,72,361,72,128,72,128,72,127,72,361,198,337,198,382,256,382,435,93,435,93,435,382,27,382,53,368,230,191,230,104,36,424,36,424,42,424,388,424
36,219,430,433,430,219,430,219,363,384,413,384,413,384,363,384,413,384,363,384,363,219,363,384,363,384,293,384,293,384,413,326,313,326,140,311,140,326,140,311,140,311,140,311,140,311,140,311,140,311,140,311,140,364,65,376,321,376,321,376,321,376,321,376,321
37,167,427,241,292,436,245,263,245,436,245,436,245,263,245,436,245,436,245,192,245,436,245,436,245,192,245,192,245,263,245,192,245,263,245,436,292,436,292,291,292,436,292,436,245,436,245,192,245,436,292,436,245,192,245,192,245,263,245,436,245,436,245,192,245
38,245,436,245,436,245,436,245,192,245,436,292,241,427,142,167,102,383,381,383,381,365,153,126,118,417,147,356,147,417,40,341,40,341,40,341,40,341,40,341,40,341,40,417,81,168,81,168,54,149,54,149,54,168,118,168,100,386,21,345,21,163,401,62,401
39,23,322,262,23,178,23,262,179,262,360,236,271,236,271,360,236,262,179,207,179,262,360,236,271,24,180,24,271,360,271,24,180,24,33,220,176,7,176,173,20,48,73,19,99,19,99,327,183,327,183,327,38,177,264,404,428,184,322,372,371,22,132,335,416
40,139,12,115,68,115,224,141,33,385,33,220,33,141,392,141,392,141,421,191,421,191,421,141,392,141,392,141,220,353,220,33,24,271,24,180,24,236,24,271,236,271,236,271,236,360,271,360,271,236,262,207,262,23,322,184,431,46,241,427,167,142,427,241,427
41,321,376,321,376,321,376,321,376,321,376,321,376,321,376,321,376,321,376,321,376,321,376,321,376,65,376,321,376,321,376,321,376,321,376,321,376,321,376,321,376,65,364,140,311,140,311,140,311,140,311,140,364,140,326,140,311,140,311,140,311,140,364,140,326
42,267,268,267,268,284,289,433,430,219,430,433,289,284,399,284,289,284,399,284,399,284,399,284,268,284,267,284,267,268,267,268,267,284,267,268,284,268,267,284,268,284,289,284,289,284,267,284,267,284,92,284,399,284,399,284,267,284,289,433,289,433,289,284,92
43,433,289,433,289,284,92,68,259,396,353,259,396,353,33,220,141,33,353,33,353,396,353,33,220,33,220,33,220,176,33,353,220,353,220,33,353,396,353,396,353,396,353,396,353,220,353,220,353,346,233,346,385,346,385,346,385,193,258,193,258,400,185,187,49
44,376,321,376,321,376,321,376,321,376,321,376,321,376,321,376,65,364,140,311,140,311,140,326,413,326,18,394,18,170,260,199,80,112,80,112,80,112,80,112,80,112,80,112,80,112,80,112,80,112,80,199,195,199,323,29,352,270,104,36,424,36,424,36,424
45,395,412,373,170,260,170,18,326,413,326,313,326,18,326,140,311,140,311,140,326,313,326,413,384,363,384,363,384,293,384,363,384,413,326,140,326,194,326,140,326,18,326,413,326,413,326,413,326,313,326,413,326,313,326,313,326,140,311,140,311,140,311,140,364
46,133,38,87,315,9,186,9,239,10,239,10,239,96,239,96,239,10,239,10,239,9,315,37,315,9,239,96,239,10,239,96,239,96,239,9,239,9,239,9,315,37,315,38,124,432,124,38,327,183,327,99,327,183,327,183,35,66,161,26,8,26,8,195,296
47,119,248,188,248,120,248,120,3,118,417,423,417,200,85,198,147,198,85,419,85,419,85,415,382,198,190,85,198,382,435,93,435,93,435,382,256,369,256,382,230,53,230,105,270,395,233,346,233,346,233,346,385,346,233,346,233,346,233,346,353,220,141,220,353
48,62,401,163,401,163,401,163,21,345,255,177,298,177,404,264,404,177,175,177,298,177,175,177,175,177,404,177,175,177,264,177,264,403,177,175,177,175,177,87,177,404,177,175,177,175,177,403,76,403,371,403,298,403,177,38,275,333,275,417,81,168,81,417,40
49,9,315,37,315,37,315,9,186,237,189,50,189,50,189,195,296,195,199,195,138,237,243,420,319,146,182,146,182,146,182,154,343,154,22,276,22,371,22,276,22,394,22,324,22,371,22,132,22,161,366,26,8,195,189,50,378,418,378,418,378,418,378,418,378
50,228,406,196,406,228,406,228,406,228,406,228,406,228,406,228,137,135,137,135,137,228,116,136,357,424,166,424,357,85,198,337,198,85,357,424,252,118,417,118,84,386,84,386,286,159,350,159,286,103,286,103,286,35,66,35,183,221,160,221,183,327,6,327,38
51,283,342,283,342,83,342,283,342,83,209,250,172,254,172,250,262,360,271,236,262,250,172,250,184,393,202,393,49,354,53,230,191,421,141,421,141,33,353,259,353,220,33,141,392,141,224,141,392,141,392,141,33,220,33,353,259,88,208,88,259,353,259,68,232
52,432,414,288,414,288,414,106,63,106,229,106,63,113,204,348,397,224,141,33,353,33,24,271,24,180,238,250,184,428,403,76,403,13,177,87,315,37,315,37,315,9,186,237,138,237,186,237,189,237,231,328,109,328,109,276,109,276,422,276,109,328,231,237,189
53,182,154,182,154,182,154,343,154,343,154,343,154,343,154,343,154,343,154,343,154,22,132,22,394,18,394,22,299,162,159,161,39,323,362,14,367,324,79,367,324,79,367,47,367,47,367,47,227,47,367,47,367,79,367,79,367,47,367,79,324,22,132,22,276
