node_index,node,feature_kappa,feature_entropy_norm,feature_c_ent,feature_valence,feature_poincare_x,feature_poincare_y,feature_log_degree,feature_eta_local
58,buy,0.009259333,0.9339849,0.0012225118,0.455,0.6954254,-0.065169625,-0.14336532,-0.298027
59,cake,-0.37291676,0.9155517,-0.06298437,0.645,0.64376885,0.09979189,0.080952615,-0.8047767
60,calm,-0.125,0.9709506,-0.0072623515,0.4725,-0.44865283,-0.14152631,-0.45952368,-0.72108763
61,camera,-0.0833335,0.82805574,-0.028657436,0.4025,-0.37962043,-0.46479797,-0.45952368,-0.72108763
62,can,0.5,0.0,1.0,0.3525,0.034470756,0.119121514,-1.0,-0.8172378
63,cancer,-0.05625,0.9130043,-0.009787016,-0.775,-0.5375559,0.20735353,0.080952615,-0.14018692
64,candy,0.14444466,0.6379504,0.10459227,0.5675,0.7428975,-0.12688679,-0.14336532,0.28608516
65,car,-0.25,0.970231,-0.014884507,0.4075,0.19816127,0.1513413,0.080952615,-0.8047767
66,card,-0.1666665,0.97602063,-0.0079931095,0.125,-0.6559416,-0.4238224,-0.45952368,-0.72108763
67,cards,-0.3229165,1.0,-0.0,0.0,-0.69193786,-0.33209953,-0.45952368,-0.72108763
68,cat,-0.428889,0.5795461,-0.3606561,0.4875,-0.64060736,0.3823211,0.25494713,-0.64416754
69,change,0.111111,0.0,0.222222,0.0225,0.56104434,-0.09128674,-1.0,-0.8172378
70,cheese,-0.3,0.99998176,-1.0929278e-05,0.4525,-0.5244787,0.605859,-0.45952368,-0.72108763
71,chemistry,0.25,0.0,0.5,0.185,0.36897874,-0.3548289,-1.0,-0.8172378
72,chicken,0.013888666,0.93896925,0.001695271,0.2925,0.72237086,0.4085562,-0.14336532,-0.75233644
73,child,-0.22222233,0.9078614,-0.040950507,0.55,0.22767341,-0.37492007,-0.14336532,-0.75233644
74,chips,0.25,0.9928872,0.0035563963,0.0,0.2272949,0.75148976,-0.45952368,-0.72108763
75,chocolate,-0.3,0.967619,-0.019428609,0.6575,0.7331201,-0.11563571,0.080952615,-0.5057113
76,christmas,0.142857,0.0,0.285714,0.8425,-0.22739035,-0.7692738,-1.0,-0.8172378
77,church,0.18055567,0.9227479,0.027896617,0.0525,0.08816618,-0.81557333,-0.14336532,-0.298027
78,cigarette,-0.125,0.48546076,-0.12863481,-0.5,0.024391681,0.39182976,-0.45952368,-0.72108763
79,circle,-0.111111,0.735253,-0.05883261,0.19,-0.50626105,-0.27487066,-0.14336532,-0.298027
80,clean,0.0625,0.7335379,0.033307757,0.5225,-0.6891678,-0.21307993,-0.45952368,-0.72108763
81,clear,0.0625,0.954434,0.0056957495,0.285,-0.20492432,0.59253496,-0.45952368,0.048113532
82,cloth,0.2,0.0,0.4,0.3,0.20057583,0.48374227,-1.0,-0.8172378
