trajectory_id,step_0,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19,step_20,step_21,step_22,step_23,step_24,step_25,step_26,step_27,step_28,step_29,step_30,step_31,step_32,step_33,step_34,step_35,step_36,step_37,step_38,step_39,step_40,step_41,step_42,step_43,step_44,step_45,step_46,step_47,step_48,step_49,step_50,step_51,step_52,step_53,step_54,step_55,step_56,step_57,step_58,step_59,step_60,step_61,step_62,step_63
33,53,230,53,230,104,270,105,270,105,270,105,270,105,270,105,270,105,270,105,270,105,270,105,270,105,270,105,270,105,270,105,270,104,270,105,270,105,270,105,270,105,270,105,270,104,270,105,270,105,270,105,270,105,270,105,270,105,270,105,270,105,270,105,270
34,370,391,370,391,370,391,370,391,370,391,370,391,370,391,370,391,370,391,370,391,370,391,370,391,370,391,370,391,370,391,370,391,370,391,370,391,370,391,370,391,370,391,370,391,370,391,370,391,370,391,370,391,370,391,370,391,370,391,370,391,370,391,370,391
35,323,362,4,362,4,362,4,362,4,362,4,362,4,362,4,362,4,362,14,362,14,362,14,362,14,362,14,362,14,362,14,362,14,362,14,362,4,362,14,362,4,362,4,362,4,362,4,362,14,362,4,362,14,362,14,362,4,362,4,362,14,362,4,362
36,229,106,229,106,229,106,229,106,229,106,63,113,348,204,348,204,348,204,348,204,348,204,348,204,348,204,348,204,348,204,348,204,348,204,348,204,348,204,348,204,348,204,348,204,348,204,348,204,348,204,348,204,348,204,348,204,348,204,348,204,113,204,348,204
37,2,152,34,152,297,1,297,1,297,1,297,1,297,1,297,1,297,152,297,1,297,152,34,152,2,152,34,152,297,152,2,152,297,1,297,1,297,1,297,1,297,1,297,1,297,1,297,152,297,152,34,152,34,152,2,152,2,152,34,152,55,206,55,206
38,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252
39,417,118,417,320,417,200,85,200,85,198,415,198,85,200,85,198,85,200,85,200,85,200,85,200,85,200,85,198,190,198,85,200,85,198,85,200,85,200,85,200,85,198,85,198,85,200,85,198,85,198,85,200,85,198,85,201,85,200,85,198,85,357,424,388
40,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431
41,266,278,437,278,437,278,0,278,0,278,0,278,437,278,437,278,266,278,0,278,437,278,0,278,266,278,437,278,437,278,437,278,437,278,437,278,437,278,437,278,437,278,437,278,266,278,437,278,437,278,0,278,437,278,437,278,437,278,437,278,437,278,0,278
42,414,143,414,143,414,143,414,143,414,288,414,288,414,143,414,143,414,288,414,288,414,143,414,288,414,143,414,143,414,143,414,143,414,143,414,143,414,143,414,143,414,143,414,143,414,143,414,143,414,143,414,143,414,143,414,106,229,106,229,106,229,106,229,106
43,349,219,430,219,430,219,430,219,430,219,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384
44,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,96,239,10,239
45,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167
46,374,344,374,344,374,344,374,344,374,344,374,344,374,344,374,344,374,344,374,344,374,344,374,344,374,344,374,344,374,344,374,344,374,344,374,344,374,344,374,344,374,344,374,344,374,344,374,344,374,344,374,344,374,344,374,344,58,344,374,344,374,344,374,344
47,85,198,85,198,85,198,85,200,85,200,85,198,85,198,85,200,85,200,85,200,85,200,85,198,85,200,85,200,85,198,85,200,85,200,85,200,85,198,85,200,85,198,85,198,337,198,85,200,85,198,85,200,85,200,85,198,85,200,85,200,85,200,85,200
48,385,346,233,346,233,346,385,346,233,346,233,346,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396
49,273,279,408,279,408,279,408,279,408,279,408,279,408,279,408,279,408,279,408,279,408,279,408,279,408,279,408,279,408,279,408,279,408,279,408,279,408,279,408,279,408,279,408,279,408,279,408,279,408,279,408,279,408,279,408,279,408,279,408,279,408,279,408,279
50,387,331,387,331,86,409,86,409,86,409,86,409,86,409,86,409,86,409,86,409,86,409,86,409,86,409,86,409,86,409,86,409,86,409,86,409,86,409,86,409,86,409,86,409,86,409,86,409,86,331,387,331,409,86,409,86,409,86,409,86,409,86,409,86
51,433,289,284,399,284,267,284,399,284,267,284,267,284,399,284,267,284,267,284,267,284,267,284,267,284,267,284,267,284,267,284,399,284,267,284,267,268,267,284,267,284,267,268,267,284,267,284,267,284,267,284,267,284,267,284,399,284,267,284,399,284,267,284,399
52,21,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163
53,281,87,315,87,315,37,315,37,315,37,315,87,315,37,315,37,315,37,315,37,315,37,315,37,315,37,315,37,315,37,315,37,315,37,315,37,315,37,315,37,315,37,315,37,315,37,315,37,315,37,315,37,315,37,315,37,315,87,315,37,315,87,315,37
54,8,26,161,299,162,299,162,299,161,299,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213
55,290,336,290,336,290,336,290,336,290,336,290,336,290,336,290,336,290,336,290,336,290,336,290,336,290,336,290,336,290,336,290,336,290,336,290,336,290,336,290,336,290,336,290,336,290,336,290,336,290,336,290,336,290,336,290,336,290,336,290,336,290,336,290,336
56,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,192,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436
57,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163,401,163
58,209,250,209,250,209,250,262,304,262,23,262,23,262,23,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372
59,116,410,116,410,116,410,116,410,116,410,116,410,116,410,116,410,116,410,116,410,116,410,116,410,116,410,116,410,116,410,116,410,116,410,116,410,116,410,116,410,116,410,116,410,116,410,116,410,116,410,116,410,116,410,116,410,116,410,116,136,116,410,116,410
60,134,272,355,272,134,272,134,272,134,272,134,272,355,272,134,272,134,272,134,272,134,272,134,272,134,272,134,272,355,272,134,272,134,272,355,272,134,272,134,272,134,272,134,272,355,272,134,272,355,272,355,272,134,272,355,272,134,272,134,272,134,272,134,272
61,343,154,343,154,343,154,343,154,343,154,343,154,343,154,343,154,343,154,343,154,343,154,343,154,343,154,343,154,343,154,343,154,343,154,343,154,343,154,343,154,343,154,343,154,343,154,343,154,343,154,343,154,343,154,343,154,343,154,343,154,343,154,343,154
62,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427
63,429,227,240,227,240,227,240,227,240,227,240,227,240,227,240,227,240,227,240,227,240,227,240,227,240,227,240,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241,427,241
