window_size,nodes,edges,clustering,density,in_sweet_spot
3,5309,52901,0.010117894885797613,0.003754483826429448,False
5,5309,94799,0.01086127189868955,0.006728063973491716,False
7,5309,130255,0.009710593327202892,0.009244443220573672,False
10,5309,175671,0.008639267826587093,0.012467702468246113,False
15,5309,237332,0.006274161646810477,0.016843900030134664,False
20,5309,287196,0.005087982109047853,0.0203828422338941,False
30,5309,364185,0.004217742045222832,0.02584689688906086,False
50,5309,466113,0.0035737770528596626,0.03308091944932061,False
