label,category,n_nodes,n_edges,clustering,sigma_k,kappa_mean
BabelNet (AR),Taxonomy,142,151,0.0,2.607840709863664,-0.01236203090507727
BabelNet (RU),Taxonomy,493,522,0.0002929907595221997,2.72587201395944,-0.02992914918202271
ConceptNet (EN),Association,467,2474,0.014438032104813238,7.343879684039593,-0.20904677773319583
ConceptNet (PT),Association,489,1578,0.016822316601620087,5.616804818395206,-0.16509321618641049
SWOW (EN),Association,438,640,0.026285895679457893,1.8415304897650389,-0.25766092320440837
SWOW (ZH),Association,465,762,0.02896947712451699,2.027346856301216,-0.21397920800636283
SWOW (ES),Association,422,571,0.033790114851135686,1.7372173513102764,-0.15486317690498427
WordNet (EN),Taxonomy,500,527,0.04562147977256336,4.067472925539886,-0.0015320866409303884
