label,category,n_nodes,n_edges,clustering,sigma_k,kappa_mean,family
BabelNet (AR),Taxonomy,142,151,0.0,2.607840709863664,-0.0123620309050772,Semitic
BabelNet (RU),Taxonomy,493,522,0.0002929907595221,2.72587201395944,-0.0299291491820227,Indo-European
SWOW (EN),Association,438,640,0.0262858956794578,1.8415304897650389,-0.2576609232044083,Indo-European
SWOW (ZH),Association,465,762,0.0289694771245169,2.027346856301216,-0.2139792080063628,Sino-Tibetan
SWOW (ES),Association,422,571,0.0337901148511356,1.7372173513102764,-0.1548631769049842,Indo-European
SWOW (NL),Association,465,835,0.03730304539285193,2.6185301595655748,-0.270002,Indo-European
WordNet (EN),Taxonomy,500,527,0.0456214797725633,4.067472925539886,-0.0015320866409303,Indo-European
