window_size,n_nodes,n_edges,clustering,density,in_sweet_spot
2,4852,26816,0.004044265779336856,0.002278620109264321,False
3,4852,50336,0.006236508969228788,0.004277171159752717,False
4,4852,70955,0.004230563010154964,0.006029217252865822,False
5,4852,89710,0.0033546270951053335,0.007622874776331378,False
7,4852,122834,0.0024956379453903903,0.010437500839102535,False
10,4852,165391,0.0018024189470609699,0.01405367163228428,False
15,4852,223931,0.0013169703475949016,0.019027956432266877,False
20,4852,273002,0.0010732924123707268,0.023197637495128955,False
50,4852,465378,0.0005856463703706477,0.039544289573732516,False
