,entropy,curvature,coherence,kec
spanish,3.6822316036371947,0.0,5407.711090573014,-1801.3429529897924
english,3.9306705865983695,0.0,5542.120859577621,-1846.0633963303408
chinese,3.4868411923830926,0.0,5119.1067918277195,-1705.2066502117787
