severity,severity_numeric,clustering,curvature,H_spectral,fragmentation,clustering_z,curvature_z,H_spectral_z,fragmentation_z,KEC_spectral,KEC_frag
minimum,0,0.0549070656941319,-0.12733282093925613,10.611200996689893,0.0030395136778115,0.183023552313773,0.4316679476518596,0.8016001423842705,0.30395136778114995,0.350081512574119,0.5124064859390933
mild,1,0.0257518941060916,-0.07113791278759186,11.564531346753178,0.0003237293622531,0.08583964702030535,0.5721552180310203,0.9377901923933111,0.03237293622531,0.4747019211346754,0.5141061155498805
moderate,2,0.0335487042759518,-0.06502649040351638,11.09155742770539,0.0008928571428571,0.11182901425317268,0.587433773991209,0.8702224896721985,0.08928571428571,0.448609083136745,0.5156473259830392
severe,3,0.0247326212483341,-0.07400236024135913,11.360297529959883,0.0003724394785847,0.08244207082778034,0.5649940993966021,0.9086139328514119,0.037243947858469996,0.4637219871400779,0.5036173267021614
