network,n_nodes,n_edges,clustering,n_components,H_shannon_transition,H_shannon_degree,H_spectral,H_von_neumann
spanish,500,10820,0.20305517403374423,1,5.3085881523754415,5.8755984579604865,8.946956436379159,8.817392776832614
english,500,13495,0.19451324667343528,1,5.666906184314834,5.85649177346061,8.950598547528804,8.860745229454288
chinese,500,9055,0.21459632390407082,1,5.0238866988017055,5.661942080108761,8.943211143720996,8.780765840445758
depression_minimum,310,15078,0.005558033228950405,1,6.005610224604483,6.775485172891962,8.267577723356133,7.431098727089834
depression_mild,851,70717,0.002041381770111582,1,6.547812147789005,7.716851004725568,9.729519970937218,8.281762017661013
depression_moderate,628,44060,0.0031266015597246457,1,6.393964170396871,7.579156014829436,9.289570858307222,8.1622730237149
depression_severe,711,55420,0.0027500493757555873,1,6.485091867163095,7.615309647413657,9.46971168079413,8.134689282701043
